model,accuracy_mean,accuracy_std,precision_w_mean,precision_w_std,recall_w_mean,recall_w_std,f1_w_mean,f1_w_std,seconds
xgboost,0.9176620360030375,0.007443373845930546,0.9206207864073608,0.006208971039489908,0.9176620360030375,0.007443373845930546,0.9171581997851016,0.007463009620799368,11.899747848510742
logreg,0.9116615297568529,0.009449835665556777,0.9135418452436047,0.009823798856893882,0.9116615297568529,0.009449835665556777,0.9108046848848957,0.008936082090193316,2.111332893371582
linear_svm_calibrated,0.9056654903887672,0.005157662398982381,0.9079491269236291,0.005615519675763515,0.9056654903887672,0.005157662398982381,0.9035704780683194,0.005661253310723675,2.6888108253479004
random_forest,0.8991349146081804,0.009984195464042927,0.9030759297492994,0.010620666083327573,0.8991349146081804,0.009984195464042927,0.8959839389103559,0.009459577343325419,2.9477431774139404
grad_boost,0.887675883325144,0.013292654700728154,0.8917217222999273,0.012815798438216843,0.887675883325144,0.013292654700728154,0.8864234262525649,0.012862804759373982,61.175708055496216
