epoch,train_loss,val_loss,val_roc_auc,val_pr_auc
1,0.6419181178597843,0.6185063560803731,0.8131076388888888,0.8139827854886033
2,0.5246282395194558,0.5363998691240947,0.8197569444444445,0.8169464515558507
3,0.4564695077783921,0.5131436983744303,0.8228819444444444,0.8249008927063124
4,0.38832930151154016,0.5184190750122071,0.8192013888888889,0.819806454656624
5,0.320143241742078,0.534877332051595,0.8225173611111112,0.8199685558689044
6,0.2573230890666737,0.554680069287618,0.8060069444444444,0.8055867340749097
7,0.17768522956792046,0.6063506841659546,0.7927430555555555,0.7882173162280891
8,0.1138278388801743,0.6555325388908386,0.8171701388888888,0.8112939875770122
9,0.08167804199106553,0.680998690923055,0.8013888888888889,0.7917962086908312
