model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
random_forest,0.8072265625,0.014841099231345837,0.8194487798208978,0.010318669185311817,0.7153125,0.016606662819483052,0.7231275995600367,0.021377360675070966,0.69875,0.014869221566712873,0.7105867445963552,0.01522953299828657
grad_boost,0.8021054687500001,0.010218959421234242,0.8150113797187304,0.007183571608732266,0.7171875,0.020822914061197118,0.7248502555385468,0.026472809906842525,0.701875,0.02292992040980517,0.7128359589410304,0.019416944602691392
logreg,0.8005156250000001,0.01117708678421771,0.815935654545749,0.008415374638492333,0.7162499999999999,0.020766559657295187,0.7282512686585102,0.02552080571615892,0.6912499999999999,0.02632429961081585,0.7089282731072618,0.0209201580450932
xgboost,0.799607421875,0.014519383858462959,0.8129283447268036,0.010133212229279922,0.7093750000000001,0.01856681347189119,0.7183664172304658,0.02473958899911523,0.6900000000000001,0.00996086090656826,0.7037911148699614,0.01613119410036292
linear_svm_calibrated,0.79891796875,0.011014612722216377,0.8132943382890365,0.008526994891171218,0.7162499999999999,0.017416093491365976,0.7264460846443532,0.022518501470651816,0.6950000000000001,0.024254509889915295,0.7100345766676851,0.0176482717679047
