paradigm,model,accuracy,f1,roc_auc,pr_auc
Baseline,random_forest,0.7475,0.7430025445292621,0.8373843750000001,0.8471250524056608
CNN,seq_cnn,0.75,0.7487437185929648,0.826375,0.8370632258305786
Hybrid,cnn+features,0.6975,0.740343347639485,0.8316875000000001,0.8466018777391506
DNABERT-2,xgboost,0.75625,0.7553324968632371,0.8462500000000001,0.8532057755621181
NT-500M,xgboost,0.76875,0.7672955974842768,0.8507,0.8543654689618766
