paradigm,model,accuracy,f1_macro,roc_auc_ovr
protbert,linear_svm_calibrated,0.9912854030501088,0.9924099727112172,0.9982124194150216
protbert,xgboost,0.9847494553376906,0.9833409276522628,0.9973020449268248
protbert,logreg,0.982570806100218,0.9833654093497856,0.9993888552577062
protbert,random_forest,0.9651416122004356,0.9545788675620096,0.9982457919699002
